X Y Z TIME
 0.56184401E+04  0.37446415E+05 -0.54893666E+00  0.14669767E+07 
 0.56183781E+04  0.37346415E+05 -0.62439097E+00  0.15913777E+07 
 0.56183105E+04  0.37246415E+05 -0.71461210E+00  0.17272791E+07 
 0.56182360E+04  0.37146415E+05 -0.82435212E+00  0.18770253E+07 
 0.56181530E+04  0.37046415E+05 -0.96063851E+00  0.20437596E+07 
 0.56181204E+04  0.36992590E+05  0.86731647E+02  0.21443972E+07 
 0.46515186E+04  0.38237774E+05  0.10001000E+03  0.00000000E+00 
 0.47304119E+04  0.38211906E+05  0.41114995E+02  0.12512710E+06 
 0.48360240E+04  0.38164426E+05  0.11149332E+01  0.25385202E+06 
 0.49369145E+04  0.38124151E+05  0.11148827E+01  0.37691159E+06 
 0.50378044E+04  0.38088339E+05  0.11148428E+01  0.50005885E+06 
 0.51378044E+04  0.38013396E+05 -0.11159770E+01  0.62231462E+06 
 0.51878056E+04  0.37925598E+05 -0.74261978E+00  0.72573789E+06 
 0.51878080E+04  0.37825598E+05 -0.78247627E+00  0.81425247E+06 
 0.51878106E+04  0.37725598E+05 -0.82756271E+00  0.90843661E+06 
 0.51878133E+04  0.37625598E+05 -0.87898517E+00  0.10090665E+07 
 0.51878163E+04  0.37525598E+05 -0.93818558E+00  0.11170897E+07 
 0.51878195E+04  0.37425598E+05 -0.10070797E+01  0.12336790E+07 
 0.51878230E+04  0.37325598E+05 -0.10882691E+01  0.13603107E+07 
 0.51878268E+04  0.37225598E+05 -0.11853783E+01  0.14988789E+07 
 0.51878309E+04  0.37125598E+05 -0.13036123E+01  0.16518699E+07 
 0.51878356E+04  0.37025598E+05 -0.14507227E+01  0.18226375E+07 
 0.51887390E+04  0.36971636E+05  0.86310357E+02  0.19256239E+07 
 0.42624530E+04  0.64762198E+05  0.10001000E+03  0.00000000E+00 
 0.43626235E+04  0.64763200E+05  0.95010000E+02  0.62881733E+07 
 0.44626494E+04  0.64766153E+05  0.95010000E+02  0.20152221E+08 
 0.45088879E+04  0.64854752E+05  0.10001000E+03  0.10305132E+09 
 0.45090641E+04  0.64955126E+05  0.95010000E+02  0.12763432E+09 
 0.47533558E+04  0.64909208E+05  0.10001000E+03  0.00000000E+00 
 0.46560216E+04  0.64938595E+05  0.95010000E+02  0.61452450E+07 
 0.45747428E+04  0.64997150E+05  0.95010000E+02  0.15864371E+08 
 0.40726859E+04  0.10227271E+06  0.10001000E+03  0.00000000E+00 
 0.48976563E+04  0.10227491E+06  0.10001000E+03  0.00000000E+00 
 0.45162920E+04  0.10335926E+06  0.10001000E+03  0.00000000E+00 
 0.42470389E+04  0.10348652E+06  0.10001000E+03  0.00000000E+00 
 0.48461669E+04  0.10483097E+06  0.10001000E+03  0.00000000E+00 
 0.48421870E+04  0.10472596E+06  0.95010000E+02  0.28181591E+06 
 0.48384024E+04  0.10460257E+06  0.95010000E+02  0.57258615E+06 
 0.48347985E+04  0.10447724E+06  0.95010000E+02  0.86335638E+06 
 0.48313664E+04  0.10434996E+06  0.95010000E+02  0.11541266E+07 
 0.48280981E+04  0.10422068E+06  0.95010000E+02  0.14448969E+07 
 0.48249858E+04  0.10408937E+06  0.95010000E+02  0.17356671E+07 
 0.48206858E+04  0.10394384E+06  0.95774715E+02  0.20615781E+07 
 0.48138155E+04  0.10383859E+06  0.95866080E+02  0.24049938E+07 
 0.48071206E+04  0.10373310E+06  0.95940881E+02  0.27436219E+07 
 0.48005950E+04  0.10362738E+06  0.96015828E+02  0.30775846E+07 
 0.40345721E+04  0.10499104E+06  0.10001000E+03  0.00000000E+00 
 0.40619400E+04  0.10488609E+06  0.95010000E+02  0.28181591E+06 
 0.40953781E+04  0.10476520E+06  0.95010000E+02  0.57258615E+06 
 0.41272211E+04  0.10464243E+06  0.95010000E+02  0.86335638E+06 
 0.41575449E+04  0.10451773E+06  0.95010000E+02  0.11541266E+07 
 0.41864221E+04  0.10439108E+06  0.95010000E+02  0.14448969E+07 
 0.42139216E+04  0.10426244E+06  0.95010000E+02  0.17356671E+07 
 0.42401093E+04  0.10413179E+06  0.95010000E+02  0.20264373E+07 
 0.42650477E+04  0.10399909E+06  0.95010000E+02  0.23172076E+07 
 0.42673380E+04  0.10389434E+06  0.95826093E+02  0.26629136E+07 
 0.42695296E+04  0.10378897E+06  0.95901271E+02  0.30040639E+07 
 0.42716457E+04  0.10368338E+06  0.95976131E+02  0.33404805E+07 
 0.46792964E+04  0.10576649E+06  0.10001000E+03  0.00000000E+00 
 0.40605643E+04  0.10538414E+06  0.10001000E+03  0.00000000E+00 
 0.44777318E+04  0.10694776E+06  0.10001000E+03  0.00000000E+00 
 0.49346929E+04  0.10690465E+06  0.10001000E+03  0.00000000E+00 
 0.43190329E+04  0.10770119E+06  0.10001000E+03  0.00000000E+00 
 0.43210907E+04  0.10760589E+06  0.64647573E+02  0.58845526E+05 
 0.43255505E+04  0.10750231E+06 -0.25845817E+00  0.14488024E+06 
 0.43296028E+04  0.10740231E+06 -0.17101524E+00  0.22393818E+06 
 0.43334297E+04  0.10730231E+06 -0.89273269E-01  0.29939763E+06 
 0.43370531E+04  0.10720231E+06 -0.12543750E-01  0.37157195E+06 
 0.43404917E+04  0.10710231E+06  0.59752093E-01  0.44073526E+06 
 0.43437754E+04  0.10700188E+06  0.67056348E-01  0.50740154E+06 
 0.43559977E+04  0.10687221E+06  0.79608689E+01  0.76402494E+06 
 0.43692754E+04  0.10673090E+06  0.69264081E+01  0.10992743E+07 
 0.43759267E+04  0.10663081E+06  0.65421270E+01  0.13000508E+07 
 0.43811238E+04  0.10653071E+06  0.62022667E+01  0.14780081E+07 
 0.43852977E+04  0.10643060E+06  0.58917566E+01  0.16378088E+07 
 0.43887241E+04  0.10633047E+06  0.56006643E+01  0.17828182E+07 
 0.43915878E+04  0.10623033E+06  0.53221936E+01  0.19155448E+07 
 0.43940172E+04  0.10613019E+06  0.50515483E+01  0.20379088E+07 
 0.43961045E+04  0.10603003E+06  0.47852563E+01  0.21514126E+07 
 0.43967505E+04  0.10592962E+06  0.27952126E+01  0.22207793E+07 
 0.43961280E+04  0.10582894E+06  0.28118030E+01  0.22543127E+07 
 0.43954400E+04  0.10572833E+06  0.28319945E+01  0.22915430E+07 
 0.43946705E+04  0.10562779E+06  0.28571666E+01  0.23333907E+07 
 0.43937969E+04  0.10552732E+06  0.28895195E+01  0.23811693E+07 
 0.43927854E+04  0.10542691E+06  0.29327943E+01  0.24368473E+07 
 0.43915825E+04  0.10532657E+06  0.29939199E+01  0.25035705E+07 
 0.43900952E+04  0.10522630E+06  0.30873450E+01  0.25868402E+07 
 0.43881388E+04  0.10512609E+06  0.32490708E+01  0.26976668E+07 
 0.43852540E+04  0.10502595E+06  0.36004261E+01  0.28637686E+07 
 0.43887065E+04  0.10495689E+06  0.78543384E+02  0.30042631E+07 
 0.40076982E+04  0.10736534E+06  0.10001000E+03  0.00000000E+00 
 0.40115409E+04  0.10727105E+06  0.64541854E+02  0.58145987E+05 
 0.40184850E+04  0.10716686E+06 -0.39328885E+00  0.13223539E+06 
 0.40248115E+04  0.10706686E+06 -0.33251143E+00  0.20039083E+06 
 0.40308327E+04  0.10696686E+06 -0.27536106E+00  0.26585504E+06 
 0.41095014E+04  0.10684401E+06  0.52753611E+01  0.60976007E+06 
 0.41513179E+04  0.10675040E+06  0.50696433E+01  0.82989384E+06 
 0.41851875E+04  0.10665069E+06  0.42325563E+01  0.10350476E+07 
 0.42115983E+04  0.10655064E+06  0.39541156E+01  0.12170302E+07 
 0.42327052E+04  0.10645059E+06  0.37097428E+01  0.13800598E+07 
 0.42499639E+04  0.10635052E+06  0.34892605E+01  0.15277144E+07 
 0.42643413E+04  0.10625046E+06  0.32857337E+01  0.16626462E+07 
 0.42765051E+04  0.10615038E+06  0.30942810E+01  0.17868749E+07 
 0.42869312E+04  0.10605031E+06  0.29113722E+01  0.19019749E+07 
 0.42959682E+04  0.10595022E+06  0.27343948E+01  0.20091967E+07 
 0.42957897E+04  0.10584953E+06  0.27495078E+01  0.20420628E+07 
 0.42955929E+04  0.10574891E+06  0.27678968E+01  0.20784718E+07 
 0.42953733E+04  0.10564835E+06  0.27907956E+01  0.21192838E+07 
 0.42951248E+04  0.10554786E+06  0.28201534E+01  0.21657159E+07 
 0.42948385E+04  0.10544744E+06  0.28592443E+01  0.22195717E+07 
 0.42945000E+04  0.10534709E+06  0.29140263E+01  0.22836916E+07 
 0.42940855E+04  0.10524680E+06  0.29966090E+01  0.23629382E+07 
 0.42935485E+04  0.10514658E+06  0.31359522E+01  0.24667285E+07 
 0.42927806E+04  0.10504643E+06  0.34225397E+01  0.26174013E+07 
 0.42989673E+04  0.10497782E+06  0.78439374E+02  0.27403950E+07 
 0.42661445E+04  0.10898664E+06  0.10001000E+03  0.00000000E+00 
 0.41868331E+04  0.10893052E+06  0.69556191E+02  0.39396868E+05 
 0.41428273E+04  0.10887673E+06 -0.23966259E+01  0.76802838E+05 
 0.40539803E+04  0.10877673E+06 -0.26129140E+01  0.15264016E+06 
 0.39554547E+04  0.10867843E+06 -0.27643042E+01  0.23724853E+06 
 0.39553871E+04  0.10867843E+06  0.97764306E+02  0.23757415E+06 
 0.42770818E+04  0.10862954E+06  0.10001000E+03  0.00000000E+00 
 0.41963483E+04  0.10859286E+06  0.49557677E+02  0.40539171E+05 
 0.40945838E+04  0.10851662E+06 -0.40134625E+00  0.12712023E+06 
 0.39945838E+04  0.10845100E+06 -0.35801728E+00  0.21276603E+06 
 0.39945289E+04  0.10845101E+06  0.10035802E+03  0.21309770E+06 
 0.41665072E+04  0.11473608E+06  0.10001000E+03  0.00000000E+00 
 0.41924126E+04  0.11466868E+06  0.27405636E+02  0.38864407E+05 
 0.42100223E+04  0.11456727E+06 -0.25571914E+01  0.11445291E+06 
 0.42256219E+04  0.11446727E+06 -0.25251077E+01  0.18565822E+06 
 0.42397080E+04  0.11436727E+06 -0.24974437E+01  0.25382912E+06 
 0.42524826E+04  0.11426727E+06 -0.24736386E+01  0.31921368E+06 
 0.42641400E+04  0.11416703E+06  0.25988722E+01  0.38217765E+06 
 0.42748167E+04  0.11406653E+06  0.26674799E+01  0.44291073E+06 
 0.42846044E+04  0.11396601E+06  0.27325772E+01  0.50143339E+06 
 0.42578056E+04  0.11386137E+06  0.27364552E+01  0.60093379E+06 
 0.42332370E+04  0.11375670E+06  0.27402917E+01  0.69976451E+06 
 0.42106996E+04  0.11365200E+06  0.27440872E+01  0.79793473E+06 
 0.41900132E+04  0.11354726E+06  0.27478427E+01  0.89545342E+06 
 0.41710148E+04  0.11344249E+06  0.27515589E+01  0.99232936E+06 
 0.41535568E+04  0.11333769E+06  0.27552365E+01  0.10885712E+07 
 0.41375050E+04  0.11323285E+06  0.27588762E+01  0.11841873E+07 
 0.41227381E+04  0.11312798E+06  0.27624787E+01  0.12791861E+07 
 0.41091457E+04  0.11302308E+06  0.27660447E+01  0.13735755E+07 
 0.41027552E+04  0.11297057E+06  0.91550307E+02  0.14206159E+07 
 0.44364114E+04  0.11498255E+06  0.10001000E+03  0.00000000E+00 
 0.44482245E+04  0.11491788E+06  0.22053444E+02  0.41742234E+05 
 0.44505162E+04  0.11481688E+06 -0.28993346E+01  0.12692743E+06 
 0.44525266E+04  0.11471688E+06 -0.28593950E+01  0.20703319E+06 
 0.44543190E+04  0.11461688E+06 -0.28256682E+01  0.28331877E+06 
 0.44559289E+04  0.11451667E+06  0.22630078E+01  0.35627839E+06 
 0.44573821E+04  0.11441624E+06  0.23458534E+01  0.42620849E+06 
 0.44586969E+04  0.11431578E+06  0.24235475E+01  0.49322213E+06 
 0.44598915E+04  0.11421531E+06  0.24966644E+01  0.55755335E+06 
 0.44609811E+04  0.11411482E+06  0.25656940E+01  0.61940911E+06 
 0.44619783E+04  0.11401431E+06  0.26310562E+01  0.67897330E+06 
 0.44417659E+04  0.11391177E+06  0.40944522E+01  0.75773520E+06 
 0.44029778E+04  0.11380711E+06  0.41012765E+01  0.85688874E+06 
 0.43674065E+04  0.11370242E+06  0.41080452E+01  0.95537738E+06 
 0.43347662E+04  0.11359770E+06  0.41147592E+01  0.10532102E+07 
 0.43047976E+04  0.11349295E+06  0.41214194E+01  0.11503960E+07 
 0.42772663E+04  0.11338816E+06  0.41280268E+01  0.12469436E+07 
 0.42519597E+04  0.11328334E+06  0.41345821E+01  0.13428615E+07 
 0.42286850E+04  0.11317848E+06  0.41410863E+01  0.14381580E+07 
 0.42072672E+04  0.11307360E+06  0.41475403E+01  0.15328413E+07 
 0.41875473E+04  0.11296867E+06  0.41539447E+01  0.16269195E+07 
 0.41875432E+04  0.11296853E+06  0.10415395E+03  0.16271595E+07 
 0.47362245E+04  0.11523319E+06  0.10001000E+03  0.00000000E+00 
 0.46778433E+04  0.11517389E+06  0.40793243E+02  0.35695307E+05 
 0.45754542E+04  0.11509558E+06  0.67740535E+00  0.92651369E+05 
 0.44751071E+04  0.11501488E+06  0.54336584E+00  0.15283253E+06 
 0.44269959E+04  0.11492272E+06  0.71935771E+00  0.22894928E+06 
 0.44307288E+04  0.11482237E+06  0.79910770E+00  0.31382884E+06 
 0.44340353E+04  0.11472199E+06  0.87078568E+00  0.39444632E+06 
 0.44369817E+04  0.11462160E+06  0.93552274E+00  0.47121005E+06 
 0.44396219E+04  0.11452118E+06  0.99424882E+00  0.54447234E+06 
 0.44419994E+04  0.11442075E+06  0.10477355E+01  0.61453931E+06 
 0.44441501E+04  0.11432029E+06  0.10966281E+01  0.68167860E+06 
 0.44461038E+04  0.11421982E+06  0.11414709E+01  0.74612559E+06 
 0.44478853E+04  0.11411933E+06  0.11827257E+01  0.80808835E+06 
 0.44495157E+04  0.11401882E+06  0.12207869E+01  0.86775173E+06 
 0.44300609E+04  0.11391625E+06  0.26723869E+01  0.94660392E+06 
 0.43921623E+04  0.11381160E+06  0.26761097E+01  0.10457847E+07 
 0.43574077E+04  0.11370691E+06  0.26797918E+01  0.11443002E+07 
 0.43255174E+04  0.11360219E+06  0.26834340E+01  0.12421594E+07 
 0.42962383E+04  0.11349744E+06  0.26870373E+01  0.13393714E+07 
 0.42693410E+04  0.11339266E+06  0.26906021E+01  0.14359447E+07 
 0.42446177E+04  0.11328784E+06  0.26941294E+01  0.15318879E+07 
 0.42218799E+04  0.11318299E+06  0.26976197E+01  0.16272094E+07 
 0.42009567E+04  0.11307810E+06  0.27010738E+01  0.17219174E+07 
 0.41816927E+04  0.11297318E+06  0.27044923E+01  0.18160198E+07 
 0.41816903E+04  0.11297310E+06  0.10270449E+03  0.18161554E+07 
 0.40907329E+04  0.11550452E+06  0.10001000E+03  0.00000000E+00 
 0.40774060E+04  0.11544257E+06  0.21459759E+02  0.32353220E+05 
 0.40073692E+04  0.11534169E+06 -0.36500946E+01  0.10007401E+06 
 0.39736016E+04  0.11529154E+06  0.80130465E+02  0.13476607E+06 
 0.44939767E+04  0.11605008E+06  0.10001000E+03  0.00000000E+00 
 0.44169877E+04  0.11604425E+06  0.33232150E+02  0.39030344E+05 
 0.43147933E+04  0.11602818E+06 -0.18669394E+01  0.10783297E+06 
 0.42147933E+04  0.11601248E+06 -0.19815575E+01  0.18055702E+06 
 0.41147933E+04  0.11599681E+06 -0.21157954E+01  0.25958316E+06 
 0.40520991E+04  0.11589681E+06 -0.21708193E+01  0.31734757E+06 
 0.39925235E+04  0.11579681E+06 -0.22287424E+01  0.37660183E+06 
 0.39918364E+04  0.11579659E+06  0.10222874E+03  0.37705486E+06 
 0.44644458E+04  0.11652693E+06  0.10001000E+03  0.00000000E+00 
 0.43887489E+04  0.11649727E+06  0.38189897E+02  0.39052086E+05 
 0.42862009E+04  0.11644578E+06 -0.19136021E+01  0.10957648E+06 
 0.41862009E+04  0.11639566E+06 -0.20337048E+01  0.18399740E+06 
 0.40862009E+04  0.11634563E+06 -0.21749000E+01  0.26503145E+06 
 0.39862009E+04  0.11629570E+06 -0.23434737E+01  0.35396931E+06 
 0.39861242E+04  0.11629568E+06  0.10234348E+03  0.35411025E+06 
 0.44120808E+04  0.14630632E+06  0.10001000E+03  0.00000000E+00 
 0.49103208E+04  0.14677020E+06  0.10001000E+03  0.00000000E+00 
 0.48103208E+04  0.14676923E+06  0.10210660E+03  0.30562031E+05 
 0.45297474E+04  0.14853730E+06  0.10001000E+03  0.00000000E+00 
 0.45023055E+04  0.14863730E+06  0.10096656E+03  0.98456926E+05 
 0.45889766E+04  0.14868677E+06  0.10001000E+03  0.00000000E+00 
 0.45561088E+04  0.14878677E+06  0.10105547E+03  0.10622053E+06 
