#  X  Y  Z  time  pathlength  particle_steps
  4.2589599e+03    6.1303185e+05    1.0040606e+02    5.4173037e+05    1.3739481e+03     14
  3.0000521e+03    6.1265939e+05    9.4047541e+00    1.2640089e+07    2.6029231e+03     26
  4.1248196e+03    6.1303822e+05    8.7513633e+01    2.8975419e+05    8.4205671e+02      9
  4.4343916e+03    6.8172792e+05    1.0194034e+02    6.6868628e+06    2.0037285e+03     19
  4.4729532e+03    6.8173076e+05    1.0192728e+02    7.1367891e+06    2.1336037e+03     19
  4.7252535e+03    6.8003966e+05    9.9861692e+01    1.5683589e+07    4.8218266e+03     46
  4.0559096e+03    6.8172885e+05    1.0193086e+02    1.0213089e+07    2.6565131e+03     24
  7.9378710e+03    6.8393591e+05    8.8184442e+01    1.8779792e+06    4.3114793e+03     43
  7.9439941e+03    6.8393272e+05    8.0990734e+01    2.3361389e+06    4.8443271e+03     48
  8.9658827e+03    7.1989902e+05    6.3950556e+01    3.1355033e+06    4.1175215e+03     42
  9.0417160e+03    7.1979661e+05    6.4084891e+01    2.9271761e+06    4.3388790e+03     44
  4.9163781e+03    7.2094141e+05    9.5010000e+01    4.2947843e+06    5.0245282e+02      6
  4.2153592e+03    7.2102589e+05    1.0501000e+02    2.0732198e+06    2.0891909e+02      3
  4.0345277e+03    7.6183699e+05    1.0001000e+02    1.7416328e+06    3.0937995e+02      4
  3.9976574e+03    7.6152811e+05    9.5010000e+01    1.6987256e+06    2.0248097e+02      3
  4.9664198e+03    8.0003245e+05    1.0001000e+02    5.1978348e+05    5.1073745e+02      5
  4.6368365e+03    7.9999869e+05    1.0001000e+02    9.0962109e+05    9.0718481e+02      8
  4.9971148e+03    8.0124927e+05    9.8598047e+01    5.9803172e+05    9.6560843e+02      9
  4.9860311e+03    8.0156595e+05    9.8488730e+01    1.0597518e+05    1.1902826e+02      2
  7.9927980e+03    8.1901007e+05    3.7400424e+01    3.4659535e+07    5.6222200e+03     54
  7.9875901e+03    8.1896406e+05    4.0710846e+01    3.2254493e+07    5.0595909e+03     48
  6.1434118e+03    8.2307331e+05    9.4356221e+01    8.5097402e+08    6.0365285e+03     60
  6.1372732e+03    8.2304850e+05    6.9397179e+01    8.6014517e+08    5.8651403e+03     58
  6.0679360e+03    8.2306649e+05    7.0673179e+01    1.8222598e+07    4.7925898e+03     48
  6.0643348e+03    8.2307189e+05    7.0569148e+01    1.8179842e+07    5.2174019e+03     52
  4.1130138e+03    8.2300839e+05    1.0542696e+02    1.3242194e+07    2.4543385e+03     25
  4.0946590e+03    8.7007926e+05    9.9096895e+01    8.7569154e+04    1.4692564e+02      2
  4.7149012e+03    8.6996287e+05    9.0130606e+01    5.0204581e+05    8.2396220e+02      9
  4.5297432e+03    8.7189912e+05    1.0089009e+02    9.1106108e+04    1.0100772e+02      2
  4.1890618e+03    8.7185216e+05    1.0089008e+02    9.1105283e+04    1.0295771e+02      2
  4.5127252e+03    8.7145542e+05    1.0073172e+02    8.3690291e+05    1.3681214e+03     14
  4.3770049e+03    8.7145108e+05    1.0073352e+02    4.6370361e+05    7.6070020e+02      8
  4.6748400e+03    8.7140386e+05    1.0122327e+02    1.2695609e+06    2.0352344e+03     20
  4.7290012e+03    8.7138508e+05    1.0089248e+02    1.5568410e+06    2.5054578e+03     25
  4.5283454e+03    8.7134618e+05    1.0151090e+02    2.2033656e+06    3.5383032e+03     35
  4.3569137e+03    8.7133645e+05    1.0128429e+02    1.7144178e+06    2.8024130e+03     28
  4.3345879e+03    8.7146294e+05    1.0074652e+02    2.5534702e+06    4.3255884e+03     41
  4.6633956e+03    8.7144319e+05    1.0074116e+02    2.6776866e+06    4.4244986e+03     43
  4.5200383e+03    8.7145405e+05    1.0092919e+02    2.9878574e+06    4.9933879e+03     48
  4.5518396e+03    8.7139464e+05    1.0089380e+02    3.1628001e+06    5.2590598e+03     51
  4.5578780e+03    8.7141517e+05    1.0143690e+02    3.9806258e+06    6.2384488e+03     60
  4.5251490e+03    8.7140254e+05    1.0096361e+02    3.8815861e+06    6.1558697e+03     59
  6.0102874e+03    8.7847226e+05    8.5288944e+01    1.3887004e+06    1.9291683e+03     19
  6.0125754e+03    8.7860654e+05    8.5124989e+01    1.3587094e+06    1.8915505e+03     19
  4.2056597e+03    8.8101132e+05    1.0223384e+02    6.2658593e+05    1.7630606e+03     18
  4.7236729e+03    8.8100532e+05    9.5166665e+01    7.6508781e+05    2.1283389e+03     22
  4.6053340e+03    8.8092835e+05    9.9594057e+01    2.4649745e+04    1.0025383e+02      2
  4.2831057e+03    8.8102244e+05    1.0347294e+02    1.9665801e+05    9.7709053e+02     10
